id,college_name,city,state,created_at,updated_at,email_url
1,Amherst College,Amherst,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,amherst.edu
2,Arizona State University,Tempe,AZ,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,asu.edu
3,Assumption College,Worcester,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,assumption.edu
4,Auburn University,Auburn University,AL,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,auburn.edu
5,Babson College,Wellesley,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,babson.edu
6,Boise State University,Boise,ID,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,boisestate.edu
7,Boston College,Chestnut Hill,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,bc.edu
8,Boston University,Boston,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,bu.edu
9,Bowdoin College,Brunswick,ME,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,bowdoin.edu
10,Bowie State University,Bowie,MD,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,bowiestate.edu
11,Bowling Green State University,Bowling Green,OH,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,bgsu.edu
12,Bridgewater State University,Bridgewater,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,bridgew.edu
13,Brigham Young University,Provo,UT,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,byu.edu
14,Brown University,Providence,RI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,brown.edu
15,Bryant University,Smithfield,RI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,bryant.edu
16,Bucknell University,Lewisburg,PA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,bucknell.edu
17,Butler University,Indianapolis,IN,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,butler.edu
18,Cal State  - Bakersfield,Bakersfield,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csub.edu
19,Cal State  - Channel Islands,Camarillo,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csuci.edu
20,Cal State  - Chico,Chico,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csuchico.edu
21,Cal State  - Dominguez Hills,Carson,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csudh.edu
22,Cal State  - East Bay,Hayward,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csueastbay.edu
23,Cala State  - Fresno,Fresno,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,fresnostate.edu
24,Cal State  - Fullerton,Fullerton,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,fullerton.edu
25,Cal State  - Long Beach,Long Beach,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csulb.edu
26,Cal State  - Los Angeles,Los Angeles,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,calstatela.edu
27,Cal State  - Monterey Bay,Seaside,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csumb.edu
28,Cal State  - Northridge,Northridge,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csun.edu
29,Cal State  - Sacramento,Sacramento,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csus.edu
30,Cal State  - San Bernardino,San Bernardino,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csusb.edu
31,Cal State  - San Marcos,San Marcos,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csusm.edu
32,Cal State  - Stanislaus,Turlock,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,csustan.edu
33,Carnegie Mellon University,Pittsburgh,PA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,cmu.edu
34,Colorado State University,Fort Collins,CO,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,colostate.edu
35,Columbia University,New York,NY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,columbia.edu
36,Cornell University,Ithaca,NY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,cornell.edu
37,Creighton University,Omaha,NE,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,creighton.edu
38,Dartmouth College,Hanover,NH,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,dartmouth.edu
39,Davenport University,Grand Rapids,MI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,davenport.edu
40,Davidson College,Davidson,NC,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,davidson.edu
41,DePaul University,Chicago,IL,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,depaul.edu
42,Duke University,Durham,NC,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,duke.edu
43,Emory University,Atlanta,GA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,emory.edu
44,Fairfield University,Fairfield,CT,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,fairfield.edu
45,Florida State University,Tallahassee,FL,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,fsu.edu
46,Fordham University,Bronx,NY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,fordham.edu
47,Framingham State University,Framingham,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,framingham.edu
48,Franklin Pierce University,Rindge,NH,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,fpc.edu
49,George Mason University,Fairfax,VA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,gmu.edu
50,George Washington University,Washington,DC,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,gwu.edu
51,Georgetown University,Washington,DC,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,georgetown.edu
52,Georgia Institute of Technology,Atlanta,GA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,gatech.edu
53,Harvard University,Cambridge,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,harvard.edu
54,Harvey Mudd College,Claremont,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,hmc.edu
55,Indiana University,Bloomington,IN,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,iu.edu
56,Johns Hopkins University,Baltimore,MD,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,jhu.edu
57,Johnson & Wales University,Providence,RI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,jwu.edu
58,Louisiana State University,Baton Rouge,LA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,lsu.edu
59,Marquette University,Milwaukee,WI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,marquette.edu
60,Massachusetts Institute of Technology,Cambridge,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,mit.edu
61,Michigan State University,East Lansing,MI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,msu.edu
62,New England Institute of Technology,East Greenwich,RI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,neit.edu
63,New York University,New York,NY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,nyu.edu
64,North Carolina State University,Raleigh,NC,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ncsu.edu
65,Ohio State University,Columbus,OH,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,osu.edu
66,Oklahoma State University,Stillwater,OK,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,pio.okstate.edu
67,Old Dominion University,Norfolk,VA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,odu.edu
68,Oral Roberts University,Tulsa,OK,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,oru.edu
69,Pennsylvania State University,University Park,PA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,psu.edu
70,Princeton University,Princeton,NJ,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,princeton.edu
71,Providence College,Providence,RI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,providence.edu
72,Purdue University,West Lafayette,IN,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,purdue.edu
73,Rensselaer Polytechnic Institute,Troy,NY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,rpi.edu
74,Rhode Island College,Providence,RI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ric.edu
75,Rhode Island School of Design,Providence,RI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,risd.edu
76,Rice University,Houston,TX,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,rice.edu
77,Rochester Institute of Technology,Rochester,NY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,rit.edu
78,Roger Williams University,Bristol,RI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,rwu.edu
79,Rutgers University,New Brunswick,NJ,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,rutgers.edu
80,Sacred Heart University,Fairfield,CT,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,sacredheart.edu
81,Saint Anselm College,Manchester,NH,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,anselm.edu
82,Salve Regina University,Newport,RI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,salve.edu
83,San Diego State University,San Diego,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,sdsu.edu
84,Stanford University,Stanford,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,stanford.edu
85,Stonehill College,Easton,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,stonehill.edu
86,Strayer University,Washington,DC,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,strayer.edu
87,Suffolk University,Boston,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,suffolk.edu
88,SUNY - Albany,Albany,NY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,albany.edu
89,SUNY - Binghamton,Binghamton,NY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,binghamton.edu
90,Syracuse University,Syracuse,NY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,syr.edu
91,Temple University,Philadelphia,PA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,temple.edu
92,Tennessee State University,Nashville,TN,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,tnstate.edu
